데이터구분_API출처,세부유형,공공데이터_식별코드(ID),관광지_시설_코스명,권역구분,상세주소,위도(Latitude),경도(Longitude),전화번호_안내처,상세설명_스토리텔링_운영정보,오프스부산_서비스융합_활용내역
KorService2 (국문관광정보),음식점/로컬미식,2754891,삼진어묵 영도본점,영도 (봉래·청학),부산광역시 영도구 태종로99번길 36,35.0931,129.0408,051-412-5468,1953년 개업한 대한민국 최고(最古) 어묵 베이커리. 워케이션 참가자 퇴근길 로컬 간식 및 선물 명소.,워케이션 센터(블루포트2021) 반경 800m 내 미식 거점으로 연계
KorService2 (국문관광정보),음식점/로컬카페,2819204,모모스 로스터리 & 커피바 영도,영도 (봉래·청학),부산광역시 영도구 봉래나루로 160,35.0901,129.0402,051-418-4134,월드 바리스타 챔피언 전주연 바리스타의 대형 로스터리. 부산항 뷰와 스페셜티 커피.,집중 업무 종료 후 18시 퇴근길 사색 및 로컬 커피 문화 체험 연계
KorService2 (국문관광정보),음식점/로컬미식,2645112,초량1941 (우유카페 & 적산가옥),초량/동구,부산광역시 동구 망양로 533-5,35.1221,129.0345,051-462-7774,1941년 건립된 일본식 적산가옥을 재생한 바닐라/홍차 수제 우유 전문 카페. 산복도로 야경 조망.,부산역 거점센터 퇴근 후 산복도로 도보 코스 1차 쉼터 매핑
KorService2 (국문관광정보),음식점/로컬미식,2718903,본전돼지국밥,초량/동구,부산광역시 동구 중앙대로214번길 3-8,35.1165,129.0418,051-441-0865,40년 전통 부산역 대표 맑은 국물 돼지국밥. 퇴근 후 든든한 저녁 식사 거점.,아스티호텔 부산 워케이션 거점센터 바로 앞 도보 3분 연결
KorService2 (국문관광정보),문화시설,2801452,피아크 (P.ARK) 복합문화공간,영도 (동삼),부산광역시 영도구 해양로 195번길 180,35.0782,129.0684,051-404-9200,"선박 건조장 오션뷰를 품은 초대형 복합문화공간. 전시, 도서, 베이커리가 결합된 힐링 명소.",영도 권역 워케이션족의 저녁 전시 관람 및 야경 조망 동선에 매핑
KorService2 (국문관광정보),관광지/문화거리,2598412,흰여울문화마을,영도 (영선),부산광역시 영도구 흰여울길 379,35.0788,129.0448,051-419-4067,영도 해안 절벽을 따라 늘어선 바다 전망 문화 예술 마을. 영화 변호인 촬영지.,두루누비 절영해안산책로와 직결되는 노을 조망 코스로 통합
KorService2 (국문관광정보),음식점/로컬미식,2734190,백화양곱창 (자갈치시장 골목),남포/중구,부산광역시 중구 자갈치로23번길 6,35.0975,129.0301,051-245-0105,1960년대부터 이어져 온 자갈치 피란수도 감성의 연탄불 양곱창 센터.,남포동 코워킹 오피스 퇴근 후 노포 감성 회식/저녁 코스로 라우팅
KorService2 (국문관광정보),음식점/로컬카페,2830119,밀락더마켓 (Millac the Market),광안리 (민락),부산광역시 수영구 민락수변로17번길 56,35.1541,129.1305,051-752-5670,광안대교 오션뷰 스탠드 좌석을 갖춘 복합 식음 문화 플랫폼.,광안리 해변 워케이션족의 18시 퇴근 후 광안대교 야경 및 저녁 식음 연계
Durunubi (두루누비 걷기여행길),도보산책로(쉬움),ROUTE_BUSAN_G3_2,부산 갈맷길 3코스 2구간 (절영해안산책로),영도,부산광역시 영도구 절영로 355 일원,35.0792,129.0435,부산시 걷기길 안내센터 (051-505-2224),"남항 외항의 기암절벽과 푸른 바다를 끼고 걷는 해안 산책로. 흰여울 해안터널 및 노을 명소 (소요시간: 25분, 총거리 1.8km).",영도 워케이션 센터 퇴근 후 30분 내외 최적 힐링 산책길로 선정
Durunubi (두루누비 걷기여행길),도보산책로(보통),ROUTE_BUSAN_G3_1,초량 이바구길 골목투어 (갈맷길 3코스 1구간 지선),초량/동구,부산광역시 동구 초량상로 일원,35.1189,129.0382,동구청 문화관광과 (051-440-4062),"부산역 뒤편 산복도로와 168계단 모노레일, 명란브랜드연구소를 잇는 원도심 역사 걷기길 (소요시간: 30분, 총거리 1.5km).",부산역 아스티호텔 워케이션 센터 퇴근객 맞춤 원도심 스토리텔링 보행로
